dal_ys_disability_adjusted_life_years_communicable_maternal_neonatal_and_nutritional_diseases,prevalence_schizophrenia,deaths_vitamin_a_deficiency,deaths_high_systolic_blood_pressure,prevalence_bipolar_disorder,deaths_high_body_mass_index,life_expectancy,prevalence_eating_disorders,deaths_unsafe_sex,deaths_diet_low_in_fruits,prevalence_anxiety_disorders,percent_prevalence_depressive_disorders,prevalence_drug_use_disorders,total_life_satis,kg_banana_capita_year,kg_dates_capita_year,kg_citrus_other_capita_year,kg_orng_mand_capita_year,kg_apple_prod_capita_year,kg_lemon_lime_capita_year,kg_grape_capita_year,kg_grapefrt_prod_capita_year,kg_pineapple_prod_capita_year,kg_plantains_capita_year,kg_other_frt_capita_year,brain_nvss_cancer_deaths,breast_cancer_deaths,cervical_cancer_deaths,colon_rect_cancer_deaths,esophageal_cancer_deaths,gallbladder_cancer_deaths,kidney_cancer_deaths,larynx_cancer_deaths,leukemia_deaths,lip_and_oral_cavity_cancer_deaths,liver_cancer_deaths,non_hodgkin_lymphoma_deaths,other_cancers_deaths,other_pharynx_cancer_deaths,ovarian_cancer_deaths,pancreatic_cancer_deaths,prostate_cancer_deaths,stomach_cancer_deaths,tracheal_bronchus_and_lung_cancer_deaths,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,entity,year,fruit_consumed_kg_pc_year,gdp_capita_year,total_pop,continent,prevalence_alcohol_use_disorders
NA,NA,NA,NA,NA,NA,67.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,1953,NA,NA,70929839,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ghana,1909,NA,NA,2902786,NA,NA
5270.322316277667,0.193175490224,0.5268079213861849,164.06293252895736,0.886267638268,66.95796628637876,69.937,0.227142540047,11.642461029371107,32.61214272092262,4.56044454433,2.74463215899,0.722525140305,NA,18.23,0,8.15,20.63,4.91,4.83,1.51,24.43,0.35,5.35,64.09,2,8,6,8,5,2,1,1,5,2,6,7,14,1,2,5,15,10,9,167,110.72,753.93,1429.35,Grenada,1991,417.7678,8923.63130031847,96462,NA,1.62230817515
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grenada,1949,NA,NA,76945,NA,NA
NA,NA,NA,NA,NA,NA,50.635,NA,NA,NA,NA,NA,NA,NA,28.29,NA,0,6.31,0.01,2.01,0,1.71,0.31,28.55,59.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,155.8,286.74,1495.86,Haiti,1979,346.8566,NA,5520187,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Haiti,1937,NA,NA,2744934,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Honduras,1905,NA,NA,590337,NA,NA
NA,NA,NA,NA,NA,NA,75.043,NA,NA,NA,NA,NA,NA,NA,4.27,0.48,1.16,24.62,7.82,0.97,2.43,0.1,0.23,0,32.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.68,152.64,955.62,1658.06,Hong_Kong,1981,203.993,NA,4971693,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hong_Kong,1939,NA,NA,1687306,NA,NA
133880.24620190627,0.205242274425,2.528961547862298,41191.266736041085,0.703031013443,19982.612200698888,76.006,0.234707642547,571.5415414863428,6804.520353032958,3.4585437153500003,2.75450270338,0.717385662764,5.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,761,2150,523,5348,659,395,831,504,1011,805,889,615,2687,603,768,2071,1342,1716,8475,NA,NA,NA,NA,Hungary,2015,148.5354,27499.3244662857,9777925,Europe,2.13547559829
