entity,code,year,fruit_consumed_kg_pc_year,gdp_capita_year,total_pop,continent,kg_vgtbl_capita_year,bladder_cancer_deaths,brain_nvss_cancer_deaths,breast_cancer_deaths,cervical_cancer_deaths,colon_rect_cancer_deaths,esophageal_cancer_deaths,gallbladder_cancer_deaths,kidney_cancer_deaths,larynx_cancer_deaths,leukemia_deaths,lip_and_oral_cavity_cancer_deaths,liver_cancer_deaths,non_hodgkin_lymphoma_deaths,other_cancers_deaths,other_pharynx_cancer_deaths,ovarian_cancer_deaths,pancreatic_cancer_deaths,prostate_cancer_deaths,stomach_cancer_deaths,tracheal_bronchus_and_lung_cancer_deaths,cal_frm_animl_prot,cal_frm_plnt_prot,cal_frm_fat,cal_frm_carbs,daly,percent_prevalence_depressive_disorders,total_life_satis,kg_banana_capita_year,kg_dates_capita_year,kg_citrus_other_capita_year,kg_orng_mand_capita_year,kg_apple_prod_capita_year,kg_lemon_lime_capita_year,kg_grape_capita_year,kg_grapefrt_prod_capita_year,kg_pineapple_prod_capita_year,kg_plantains_capita_year,kg_other_frt_capita_year,life_expectancy,deaths_unsafe_water_source,deaths_unsafe_sanitation,deaths_no_access_to_handwashing_facility,deaths_household_air_pollution_from_solid_fuels,deaths_non_exclusive_breastfeeding,deaths_discontinued_breastfeeding,deaths_child_wasting,deaths_child_stunting,deaths_low_birth_weight_for_gestation,deaths_secondhand_smoke,deaths_alcohol_use,deaths_drug_use,deaths_diet_low_in_fruits,deaths_diet_low_in_vegetables,deaths_unsafe_sex,deaths_low_physical_activity,deaths_high_fasting_plasma_glucose,deaths_high_total_cholesterol,deaths_high_body_mass_index,deaths_high_systolic_blood_pressure,deaths_smoking,deaths_iron_deficiency,deaths_vitamin_a_deficiency,deaths_low_bone_mineral_density,deaths_air_pollution,deaths_a_outdoor_air_pollution_all_ages_ihme,deaths_diet_high_in_sodium,deaths_diet_low_in_whole_grains,deaths_diet_low_in_nuts_and_seeds,population_sq_kg_land,prevalence_schizophrenia,prevalence_bipolar_disorder,prevalence_eating_disorders,prevalence_anxiety_disorders,prevalence_drug_use_disorders,prevalence_alcohol_use_disorders,proportion_wmn_snr_uppr_mgmnt,num_males_born_100fml_born,percent_fml,prevalence_mental_and_substance_use_disorders,dal_ys_disability_adjusted_life_years_non_communicable_diseases,dal_ys_disability_adjusted_life_years_communicable_maternal_neonatal_and_nutritional_diseases,dal_ys_disability_adjusted_life_years_injuries
Bangladesh,BGD,1983,13.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661.769148037182,NA,NA,NA,NA,NA,NA,NA,NA,48.3989039555276,NA,NA,NA,NA
Belize,BLZ,2017,148.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.365,9.509475005079947,4.009414335657354,8.818269087724044,30.145807586267495,3.57619810185008,0.2041830582100923,20.287997070334477,1.5086874196185458,41.80634782735586,20.385742755920507,174.42614408039958,18.547148643623725,46.81221982988949,46.33712974233149,83.36876210869569,33.98123410938101,316.4685272827083,NA,259.501981997558,264.3003170248418,127.3457056713554,1.295544480909313,0.7215016635077617,6.135694739524118,109.3684718767406,80,23.564634663194163,88.79640811779103,59.159821232777375,16.4741341516879,NA,NA,NA,NA,NA,NA,NA,103,50.1574080234183,13.434708123299998,63053.946562640536,21673.306574488688,17605.721559192003
Bermuda,BMU,1980,114.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012.40740740741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,CMR,1972,100.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5272365721055,NA,NA,NA,NA,NA,NA,NA,103,50.5644537706217,NA,NA,NA,NA
Chile,CHL,1970,45.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1576502423568,NA,NA,NA,NA,NA,NA,NA,NA,50.458401162654,NA,NA,NA,NA
China,CHN,1990,14.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.145,77388.7813298092,63573.028121922864,59454.97118936539,790215.8357935442,61377.87448806802,3053.1865309410505,308200.36424647534,67069.27722029953,251318.56371475913,410019.0179078502,367957.4296600751,96614.7624799178,524898.107577372,256403.9366172709,27776.18025510292,86729.28676931754,391494.03431699285,301874.741997,234083.92227199144,1205168.5213512774,1244435.0269965453,5655.7210410211355,46926.8096582546,19890.016227246473,1317681.776804809,618256.69,945282.9718250238,396704.5280469357,151509.41937916528,120.448249116415,NA,NA,NA,NA,NA,NA,NA,110.4,48.6899610599665,11.4977056501,238056615.03964704,114085945.25289428,57836322.004979715
Cuba,CUB,1989,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8022998137803,NA,NA,NA,NA,NA,NA,NA,NA,49.9170456266666,NA,NA,NA,NA
Cyprus,CYP,2009,94.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.245,0.6890057525775826,0.368304563941545,1.25697291850632,4.592302037843459,0.16083247094777164,0.01182382556902692,4.391717677334713,0.0237026179765156,14.751024020673812,157.52711980492597,176.62135828797418,31.963372225804573,247.8752358633377,195.41127548429048,23.00385941095558,211.45471921592952,1449.2769240382574,NA,764.021632435876,1464.002484618415,1334.967129771572,0.24802682728485184,0.05887550027339121,39.77666057933655,475.1587822849541,479.53,227.5774676198208,472.1758832469805,290.12927255308733,118.840800865801,NA,NA,NA,NA,NA,NA,13.76,107,49.9660774308822,14.2047157793,216064.59466904824,12828.141136801272,28685.328071035205
Dominican_Republic,DOM,1961,244.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5088387497413,NA,NA,NA,NA,NA,NA,NA,NA,49.3798223400176,NA,NA,NA,NA
Ecuador,ECU,1978,296.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3889502962,NA,NA,NA,NA,NA,NA,NA,NA,49.7325172106774,NA,NA,NA,NA
Egypt,EGY,1998,86.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.051,11508.980998937894,11353.431368900729,4214.9066429018785,4365.655904963301,5534.391789999867,342.6385798749885,26499.553942377184,5216.674600884448,20760.269902091462,15097.472732095235,4451.1912852915475,868.2776355559294,16528.23886926795,3681.206414751203,384.58448957591094,13253.041641216789,49063.32174719668,NA,56845.817080159366,78343.61076144603,42440.50105142651,613.9057611967742,3583.9951160273554,1082.529715677103,43395.21979721037,39337.75,9232.428125746972,29460.222507019877,24939.95935830631,66.5028469536391,NA,NA,NA,NA,NA,NA,NA,NA,49.6570398614302,14.8812107972,12886680.940200849,8817440.713080443,2400679.936196948
Estonia,EST,1992,27.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.794,2.4524692380679016,1.580839290176879,4.135534259179915,514.6829989237687,3.593570010389126,0.20143868772728452,22.46981086918837,1.9286013801867736,60.59026856978653,473.83267985074457,-44.55098612539045,105.91491572483602,1563.5574969874283,1418.5438917897573,115.26060413663411,800.7933605992035,3393.876286825724,NA,2495.027824417755,7085.311482560922,4017.6709965821624,0.9162981090822656,0.2280972812744433,71.28810001740102,1112.3533764278118,600.52,1600.948847314341,2213.0271656672517,1566.5531078260624,36.1663364000944,NA,NA,NA,NA,NA,NA,NA,105.9,53.4097925383233,12.6219880473,492665.2097485803,38808.80054533889,129260.38635926617
Finland,FIN,1994,77.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.21,2.4303228305860416,2.236900843078746,14.409794273502342,82.21367039361073,0.9528529216567448,0.06666729816319779,4.271420533208366,0.24780641007439255,97.35409142611886,460.5460705377889,1524.1579471949372,374.5908944783832,2456.9429553260434,2644.292675466165,134.91357844852516,2028.588429207736,7441.414723770125,NA,4566.5652331110105,13930.861709116987,7546.853849817237,1.0863049691733404,0.541354769285547,379.2812388825929,1761.83605393173,1687.08,1633.5781110706032,3593.071120706782,3212.435769276693,16.7055156111494,NA,NA,NA,NA,NA,NA,NA,NA,51.3374297883694,15.522239522699998,1286178.351293622,91312.95914075452,206349.95736682767
France,FRA,2014,84.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.114,52.1307729739212,26.34386692936292,141.40808763799916,156.73293503890977,10.100783225206138,2.219854543334768,2501.93871177477,1.8963820116774872,736.4029697697018,3800.7251194191713,40497.44830008893,5072.152554785806,13300.287168440143,10092.674120202795,2354.451978370876,12069.233893075176,62048.682802958705,NA,43261.3707115442,75588.37211236909,80201.17793587185,7.235081048995347,0.5649555996294782,6182.5748908881515,18646.96359872128,18798.75,13201.022802791347,20169.454850487415,12851.951881636824,121.10532236826501,NA,NA,NA,NA,NA,NA,32.03,104.8,51.541326192429,16.4294185256,13997747.419120764,699109.9090364678,1772423.1983418297
Germany,DEU,1993,88.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.128,32.95906507893802,28.619926814920465,107.30370610264836,1777.252175704352,15.015592746283318,1.3470304584802597,97.55790486121673,2.7334955717243927,1604.7064206997466,11619.5104618497,69945.93499085057,4853.954490970472,37263.82497087728,43225.58768530408,6290.242984293364,36781.68257000908,141545.72763031293,NA,92777.99707991478,252361.6784972822,188511.2253985325,19.025623431827643,1.9822335394106931,4980.7491871052825,52983.87042349464,51910.37,31975.58471138924,54555.83793037016,51573.06551555562,232.459793194317,NA,NA,NA,NA,NA,NA,NA,NA,51.5902529495836,15.3163729021,23068927.316985495,1075317.3203042531,2362969.763040177
Ghana,GHA,2013,196.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.064,5483.316388955608,3958.201845148557,5203.896540309707,10598.33345837336,705.3442675214308,40.74464544329357,6673.556007024553,726.8655689658474,8989.630370439996,1554.4602011977506,16519.15665758125,1400.4573462569126,1387.633656190104,4775.056826560041,15687.61757233586,1556.1152543291182,16168.692745683917,NA,11225.07099805158,21789.29411381002,5643.252865807189,367.4589236828285,1627.591749744568,829.7726117897352,14471.264460717328,3925.99,5301.864202635446,7105.96842041325,3915.25047392273,116.936103542234,NA,NA,NA,NA,NA,NA,26.67,105.3,49.37762426966,11.4686264423,4271643.392780329,7034665.640322079,779094.4825101995
Grenada,GRD,1975,130.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.041176470588,NA,NA,NA,NA,NA,NA,NA,NA,52.2693363893874,NA,NA,NA,NA
Haiti,HTI,2000,86.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.131,4874.545422034512,3743.436835138515,3211.331252165645,6886.24395336288,1835.5113968159249,142.6799886339166,7450.454647442077,1240.859864777817,2976.5498173226697,779.7120334422672,2484.2161463838884,297.054717441747,2404.2951517174915,2605.994770505107,9306.198231007693,1262.9228874057742,9187.968782346226,4967.72379843,3174.6214521839142,10030.07206621692,3539.4726680243734,471.9944994653022,1933.9087706410128,169.54689590160848,7703.161644353643,857.78,926.4235945649544,3676.4972806509745,2194.2949123087287,307.104571843251,NA,NA,NA,NA,NA,NA,NA,NA,50.7604856540831,13.4857242804,1920241.7551594833,2796510.3517898186,637651.5949573909
Hong_Kong,HKG,1962,34.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3240.39215686275,NA,NA,NA,NA,NA,NA,NA,107.4,48.3823793455716,NA,NA,NA,NA
Hungary,HUN,1982,68.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.095950606297,NA,NA,NA,NA,NA,NA,NA,106,51.6304948824905,NA,NA,NA,NA
Iceland,ISL,2002,114.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.466,0.04973559637388997,0.04532615884465427,0.4769522148626502,1.7075243263294024,0.08196026566546712,0.00613477978429955,0.9324162513552288,0.02391163241114617,3.9314455067213454,22.768092788229147,-20.39382010098618,12.387718964729428,60.33126511255149,77.86220335724914,6.108424563842177,65.24731913675889,266.7586964936698,NA,170.35263461101977,346.22194478804727,362.38082932284294,0.02754766252187493,0.05088257120732274,10.191598583495322,64.55760364958628,63.61,52.12184815570441,111.3232240464891,94.54478078775674,2.86805985037406,NA,NA,NA,NA,NA,NA,NA,104.3,49.9493567075201,14.291869300599998,53775.47348697256,3297.509084192288,6253.305110563539
Israel,ISR,1968,196.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.52865064695,NA,NA,NA,NA,NA,NA,NA,NA,49.5024602423933,NA,NA,NA,NA
Jordan,JOR,1972,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3499886672711,NA,NA,NA,NA,NA,NA,NA,105.4,48.2575455578598,NA,NA,NA,NA
Kenya,KEN,1970,40.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.856966651439,NA,NA,NA,NA,NA,NA,NA,NA,50.0781142574093,NA,NA,NA,NA
Lebanon,LBN,1969,89.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.985728250244,NA,NA,NA,NA,NA,NA,NA,NA,49.5248069944998,NA,NA,NA,NA
Malaysia,MYS,1996,53.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.972,243.32586195153127,88.96456111892041,162.89721602743754,1540.9515207274842,66.67634135468032,2.505366886100168,701.9795716725531,185.4243853183798,1343.420282899646,3477.356804580302,5058.801018719898,1300.594306993017,5386.836819085836,5285.263740986231,977.3837380308872,2727.1405002626566,11747.884802180612,NA,6733.224511062129,20721.98372275947,14727.69961545866,105.37692494320656,84.74677210197655,369.43193355564506,6987.820203564362,5501.19,10979.26082411806,6382.668654144482,4979.463205758143,63.9708385329478,NA,NA,NA,NA,NA,NA,NA,NA,49.1001858964139,11.961570535,3150146.6373363426,1047283.4142609872,613551.0360109205
Mexico,MEX,1990,88.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.866,13763.04716137273,10182.98888071962,5371.939328586834,13870.86058917167,6013.628788137206,878.3515575996823,29586.753963765223,3656.398102099573,18965.18197945617,9744.546574544847,34709.039980547546,3801.646707858152,8658.11129537487,9607.052483529136,6899.916747393517,6143.775613461879,59992.41690648696,20751.8155782,35634.55011554989,42940.890764259726,39894.75107364534,274.1260916828582,5581.32779381735,1983.4256840185028,28828.663765023302,15482.13,4474.359557223748,11408.208889735482,12362.917017325291,43.1817356413488,NA,NA,NA,NA,NA,NA,NA,105,50.5136542732172,10.4323569193,12639930.548298622,8751952.784731166,3881749.6106902063
Morocco,MAR,1964,29.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0473092261505,NA,NA,NA,NA,NA,NA,NA,NA,50.5730334192161,NA,NA,NA,NA
Nepal,NPL,1969,8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.7598391608392,NA,NA,NA,NA,NA,NA,NA,NA,50.2082485364806,NA,NA,NA,NA
Norway,NOR,2003,124.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.474,4.2439366422248375,3.6637522698701024,15.409691504938166,50.38363389802926,0.4945092284702958,0.04942868359985025,10.187784895370674,0.12008485535675524,53.4596580880251,566.569695253776,66.01454326221909,408.9603852453738,1142.479373597242,1601.3080480304902,158.721125897617,1590.7730843928807,6733.820921177395,NA,3126.779984101501,9012.51626624776,7606.447557980923,1.0929292630024403,0.3140247084914863,463.0078418025444,1585.6321501907382,1553.16,1259.7414494415775,2447.84167355939,1830.7286846537495,12.4980971624448,NA,NA,NA,NA,NA,NA,28.18,NA,50.441456809659996,16.138917805,1090208.552854031,62779.357145343274,125554.3094449366
Peru,PER,2003,89.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.24,991.9084107547384,673.525480966193,1140.208068922935,5177.033014492486,300.30969143798393,19.48684917327504,3964.546302281885,837.486311310362,3840.085352159675,1429.0491819698732,6623.849604916259,1062.7556110188584,2775.0007676125115,2924.5032682182705,3044.244799253736,1680.8499114857675,7304.08805540128,NA,7621.608163187037,10569.814177001288,6094.740699722394,228.1534765357343,368.95889006364746,350.8040777167625,9775.534963911476,4631.38,3538.064721188569,3893.776075734704,3133.548814321589,21.38454453125,NA,NA,NA,NA,NA,NA,NA,NA,50.1470925793114,12.10992498,3800915.744602576,2162776.0056052892,869599.2446236829
Poland,POL,1966,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.434653433021,NA,NA,NA,NA,NA,NA,NA,NA,51.4876076912397,NA,NA,NA,NA
Portugal,PRT,2011,110.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.26,14.441428397130023,17.18569161454628,46.42217870926933,244.97522939127032,3.8016908241391336,0.37861766216729686,77.62019780211655,0.6372675796602907,93.3845029836532,1645.3252735246274,12492.034454058024,652.1380242164686,2997.093679103451,1392.499896239647,954.34304135592,3006.5049916585667,19528.19221332688,NA,10030.767050970588,17533.660059442922,12609.905210242674,1.9649305453754964,1.69022123268369,389.67527290945105,4823.675169763598,4671.71,2207.1678009514117,5000.133247435659,2679.794148890996,115.269789278305,NA,NA,NA,NA,NA,NA,26.15,106,52.2597902546486,15.5875503474,2695957.82285018,208440.31835887808,250399.87182650663
Russia,RUS,2004,53.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.38,363.7219497046027,327.4195271491058,770.1315915957293,735.6977162557546,399.9054884173149,24.963342230018483,1650.5082285839012,219.1076444213957,4765.0842384120115,58552.076825756194,276427.517915944,34193.06974567015,202806.5270749124,125366.40308766263,11711.512632857895,120675.80305633249,289066.80196687137,NA,347909.77275320963,755068.9194107244,396516.68350149534,82.47239042733325,25.59407281452462,5703.765610172473,149742.2425029742,149825.49,116510.5952775906,260217.22444056417,172129.858502656,8.79465803239439,NA,NA,NA,NA,NA,NA,NA,NA,53.4201917705132,11.834872502,59361325.835966386,5797654.623614548,15309441.384687755
